question,answer
与热力和机械相关的工作人员应按本部分每年考试一次。中断工作连续3个月以上者，必须重新学习本部分，并经考试合格后，方能恢复工作。（ ）,正确
工作人员接到违反安全规定的命令，应拒绝执行。（ ）,正确
清拭运转中机器的固定部分时，严禁戴手套或将抹布缠在手上使用。（ ）,正确
检修工作处所如有裸露的电线，应认为是带电的，不准触碰。（ ）,正确
严禁在运煤设备运行中进行任何检修或清理工作。（ ）,正确
严禁不收回工作票，以口头方式联系试运设备。（ ）,正确
检修工作开工后，严禁运行或检修人员单方面变动安全措施。（ ）,正确
口头联系或约时停、送电时，应使用标准术语。（ ）,错误
每份工作票签发人和许可人不得在工作票上修改。（ ）,错误
在危及人身和设备安全的紧急情况下，经值长许可后，可以没有工作票即进行处置，但必须由运行班长（或值长）将采取的安全措施和没有工作票而必须进行工作的原因记在运行日志内。（ ）,正确
一个班组在同一个设备系统上依次进行同类型的设备检修工作时，如全部安全措施不能在工作开始前一次完成，应分别办理工作票。（ ）,正确
一份工作票中，工作票签发人、工作负责人和工作许可人三者不得相互兼任。一个工作负责人不得在同一现场作业期间内担任两个及以上工作任务的工作负责人或工作组成员。（ ）,正确
工作票应使用统一格式，各单位可以根据实际情况进行补充，但不得删减。（ ）,正确
捅煤斗内的堵煤，应使用专门的捅条并站在煤斗上部的平台上进行。捅煤时可将箅子拿掉。（ ）,错误
原煤斗应有坚固完整的箅子，在运行中应将箅子取下。（ ）,错误
在清理振动筛、碎煤机设备时，应待设备完全停稳后，停电并做好安全措施才能进行清理。（ ）,正确
带式磁性除铁器传动轮周围应有防护罩，并有防止运行中的除铁器上铁物飞出伤人的措施。（ ）,正确
运行中人工清理皮带滚筒上的粘煤或对设备进行其他清理工作时，应提前做好防护措施。（ ）,正确
禁止在运行中的皮带上直接用手撒松香、涂油膏等防滑物料。（ ）,正确
在紧急情况下，任何人都可拉运煤皮带的“拉线开关”停止皮带的运行。（ ）,正确
扒煤机、卷扬机等设备在运行时，严禁任何人跨越钢丝绳。（ ）,正确
除当班司机人员外，严禁其他人员擅自开动运煤机。（ ）,正确
在抓煤机抓斗活动范围内严禁人员通过或逗留。（ ）,正确
票面需要填写数字的，应使用阿拉伯数字（或母线可以使用罗马数字）；时间按24h计算，年度填写4位数字，月、日、时、分填写2位数字。（ ）,正确
当无工作负责人带领时，工作人员不得进入工作地点。（ ）,正确
不熟悉电气工器具使用方法的工作人员要谨慎使用。（ ）,错误
任何电气设备上的标示牌，除原来放置人员外，其他任何人员不准移动。（ ）,错误
工作服、专用防护服，个人防护用品应根据产品说明或实际情况定期进行更换。（ ）,正确
电源开关外壳和电线绝缘有破损不完整或带电部分外露时，应立即找电气人员修好。（ ）,正确
与热力和机械相关的工作人员应按本部分每年考试一次。中断工作连续6个月以上者，必须重新学习本部分，并经考试合格后，方能恢复工作。（ ）,正确
在容器、槽箱内工作，如需站在梯子上工作时，工作人员应使用安全带，安全带的一端拴在外面牢固的地方。（ ）,正确
人在梯子上时，要缓慢移动梯子，切勿快速移动，防止人员发生坠落。 （ ）,错误
遇有大雾、照明不足、指挥人员看不清各工作地点或起重驾驶人员看不见指挥人员时，不准进行起重工作。（ ）,正确
清拭运转中机器的固定部分时，严禁戴手套或将抹布缠在手上使用。（ ）,正确
停电设备的各端应有明显的断开的，或应有能反应设备运行状态的电气和机械指示，可以在只经断路器断开电源的设备上工作。（ ）,错误
装、拆接地线导体端不用绝缘棒，人体可以接触接地线。（ ）,错误
可以带负荷拉合隔离开关。（ ）,错误
发生人身触电时，应立即请示领导，确认后方可断开有关设备电源。（ ）,错误
每组接地线均应编号，并存放在固定地点。存放位置亦应编号，接地线号码与存放位置号码可不一致。（ ）,错误
检修工作结束以前，若需将设备试加工作电压，全体工作人员应撤离工作地点。（ ）,正确
电气工具和用具应由专人保管，定期进行检查。（ ）,正确
单人巡视时，可以打开配电设备柜门、箱盖。（ ）,错误
遇有电气设备着火时，应立即进行救火。（ ）,错误
电器工器具应由专人保管，每1年测试一次绝缘。（ ）,错误
发现有人触电，应立即切断电源，使触电人脱离电源，然后进行急救。（ ）,正确
一级动火工作票一级动火工作票时间不得超过3天，二级动火工作票时间不得超过5天。,错误
灭火器的总质量应不大于20kg 。,正确
防尘口罩保管贮存期限不得超过3 年。,错误
一般工业可燃粉尘的爆炸下限位于30 ～ 60g/m 3 之间，爆炸上限位于 3 ～ 6kg/m 3 之间的严禁动火。,错误
噪声作业等级有5级，分别是I级 - 安全作业；Ⅱ级 - 轻度危害；Ⅲ级 - 中度危害；Ⅳ级 - 高度危害；Ⅴ级 - 极度危害。,错误
凡在离地面 2m 以上的地点进行的工作，都应视作高处作业。,错误
工作票延期手续可以办理两次。如需再次延期，应重新办理工作票。,错误
在没有脚手架或者在没有栏杆的脚手架上工作，高度超过1.8m时，必须使用安全带，或采取其他可靠的安全措施。,错误
在运煤设备运行中，禁止不停设备去上链条、钢丝绳或皮带。,正确
从事有职业病危害岗位人员的健康检查，应按国家有关规定进行。,正确
当事故发生时，可以拉动皮带两边的接线开关，使输煤系统停止运行，防止事故扩大。,正确
可在停止运行中的皮带上或其他有关设备上站立、越过、爬过，传递各种工具。,错误
运煤皮带和滚筒上，一般应装刮煤器、清扫器。当清扫器出现故障时，可以在设备运行时人工清理皮带和滚筒上的粘煤。,错误
皮带运行时不准跨越皮带，但在皮带停止运行时，可以跨越皮带。,错误
工作场所可储存少量的煤油、汽油、酒精等。,错误
对身体状况不好、精神状态不佳的职工不能安排工作。,正确
生产现场工作人员可以穿长衣、短裤、凉鞋。,错误
所有工作人员都应学会触电和气体中毒等急救常识。,正确
电器工器具应由专人保管，每3个月测试一次绝缘。,正确
对企业发生的事故，坚持“三不放过”的原则进行处理。,错误
禁止在运煤设备运行中，进行任何检修或清理工作。,正确
不准在有煤块掉落的地方通行或工作，并在周围设置围栏和安全警示标志。,正确
可以将油料、酸、碱等液体废料倒入沟道、隧道、地下室和地坑。,错误
禁止在工作场所存储易燃物品，如汽油、煤油、酒精、稀料、油漆等。,正确
工作终结后，工作票签发人应及时报告工作许可人。,错误
因工作原因必须短时移动或拆除遮栏(围栏)、标示牌，应征得工作负责人同意，并在工作监护人的监护下进行。,错误
专责监护人临时离开时，应指定一名工作人员临时监护被监护人员工作。,错误
工作许可人和工作负责人在工作票上签名后就可以工作。,错误
值班人员发现工作人员作业中有违反安全规程行为时，有权令其停止作业。,正确
工作票必须由签发人审核、签字方可生效。,正确
工作票应由签发人填写，其它人不可以填写。,错误
不合格的工器具应报废，不得继续使用。,正确
操作机械传动的开关和刀闸时，应戴绝缘手套。,正确
接地线的装、拆，做好记录后，交接班时可不用交代。,错误
值班员如有特殊情况需要可以变更有关检修设备的运行接线。,错误
在工作期间，工作票应始终保留在工作负责人手中。,正确
遇有电气设备着火时，应立即将有关设备的电源切断。,正确
变更工作班人员时，须经工作许可人同意。,错误
工作票的改期只要值班负责人同意，在工作票上办理完手续就可以。,错误
电气设备事故停电后工作人员可以进入遮栏内检查设备。,错误
工作票的允许工作时间必须在计划工作时间之前。,错误
过期未试验的安全工器具可以使用。,错误
工作地点应设置“从此进出”的标示牌。,错误
工作人员不应擅自移动或拆除遮拦、标示牌,正确
在电气设备上工作，应有停电、验电、工作票、工作监护等保证安全的技术措施。,错误
工作负责人和专责监护人可轮流在现场，对工作班成员进行监护。,错误
工作班成员履行确认手续后方可开始工作。,正确
工作票的票面格式各站可以自行设置，不需统一。,错误
工作票是准许在电气设备上工作的书面安全要求之一。,正确
安全组织措施作为保证安全的制度措施之一，包括工作票、工作许可、验电、监护和终结等。,错误
在发现直接危及人身安全的紧急情况时，各类作业人员有权停止作业并组织人员撤离作业现场。,错误
发电厂是由建筑物、能量转换设备和全部必要的辅助设备组成的生产电能的工厂。,正确
工作场所的照明应适应作业要求。,正确
作业时的起重、焊接、高处作业等，应遵照国家、行业的相关标准、导则执行。,正确
作业现场的生产条件、安全设施、作业机具和安全工器具等应符合国家或行业标准规定的要求，安全工器具和劳动防护用品在使用前应确认合格、齐备。,正确
一个工作负责人最多可以同时执行两张工作票。,错误
工作票应使用统一的票面格式。,正确
工作许可后，工作负责人、工作许可人任何一方不应擅自变更安全措施。,正确
对工作人员的要求，具备必要的安全生产知识和技能，从事电气作业的人员不必掌握触电急救等救护法。,错误
雷雨天气巡视室外高压设备时，应穿绝缘靴，可以使用伞具，不应靠近避雷器和避雷针。,错误
可能送电至停电设备的各侧都应接地。,正确
装设接地线可以单人进行。,错误
倒闸操作票由操作人填写，监护人核对所填写的操作项目后签名，然后经值班负责人审核，特别重要和复杂的操作还应由值长审核签名，操作人在监护人监护下完成操作任务后签名。,错误
发电厂和变电所的值班工作可以由值班人员单独值班，但该值班人员必须熟悉电气设备，还应有实际工作经验。单人值班不得单独从事修理工作。,正确
电气工作人员应按其职务和工作性质，熟悉《电业安全工作规程》(发电厂和变电所电气部分、电力线路部分、热力和机械部分)的有关部分，并不定期进行考试。,错误
对外单位派来支援的电气工作人员应先进行安规考试，然后在工作前向其介绍现场电气设备接线情况和有关安全措施。,错误
参加带电作业人员，应经专门培训，并经考试合格，方能参加工作。,错误
对从事临时性工作的外来人员(含临时用工、实习人员)，以及管理人员参加生产现场工作，工作负责人必须在开始工作前，交待现场的危险点、安全措施和注意事项。,正确
新参加电气工作的人员、实习人员和临时参加劳动的人员(管理人员、临时工等)，必须经过安全知识教育后，方可下现场随同参加指定的工作，但对设备卫生清扫等简单的辅助性工作，可以单独进行。,错误
事故抢修因时间紧，故不必明确工作负责人、工作许可人，更不必设专责监护人。,错误
工作许可人或值长，应根据现场的安全条件、施工范围、工作需要等具体情况，增设专责监护人和批准被监护的人数。,错误
工作票值班负责人(值长)可以批准没有危险点控制措施的工作票。,错误
工作票值班负责人(值长)必须负责审查工作的必要性和检修工期是否与批准期限相符，以及工作票所列安全措施是否正确完备，因为这是工作票值班负责人(值长)的安全责任。,正确
工作票工作许可人必须对工作负责人正确说明哪些设备有压力、高温、有毒有害介质和有爆炸危险等，因为这是工作票工作许可人的安全责任。,正确
工作票工作许可人必须对检修设备与运行设备确已隔断负责，因为这是工作票工作许可人的安全责任。,正确
工作票工作许可人对工作票中所列内容即使发生很小疑问，也必须向工作负责人或工作签发人询问清楚，必要时应要求作详细补充，因为这是工作票工作许可人的安全责任。,正确
工作票工作许可人必须负责检查停电设备有无突然来电的危险，因为这是工作票工作许可人的安全责任。,正确
工作票工作许可人必须负责检查工作现场布置的安全措施是否完善，因为这是工作票工作许可人的安全责任。,正确
工作票工作许可人必须负责审查工作票所列安全措施是否正确完备，因为这是工作票工作许可人的安全责任。,正确
电气设备发生火灾，可能产生有毒气体的火灾(电缆着火等)时，扑救人员应戴好口罩。,错误
一般不允许在起重机吊着的重物下边停留或通过。,错误
凡在使用中的接地线，均必须在接地线登记簿和工作票中有记录。,正确
每组接地线均应编号，未使用时应存放在固定地点。存放位置亦应编号，接地线号码与存放位置号码应一致。,正确
工作票至预定时间，一部分工作尚未完成，仍须继续工作而不妨碍送电者，在送电前，须经值班负责人向工作负责人交待清楚后，方可继续工作。,错误
允许坐在安全帽上休息。,错误
发现运行中的电动机着火时，应立即用泡沫灭火器灭火。,错误
高处作业不得坐在平台、孔洞边缘，不得骑坐在栏杆上，可凭借栏杆起吊物件。,错误
同一张工作票中，工作票签发人、工作负责人和工作许可人三者可以互相兼任。,错误
工作票在执行中，存在违反规定、危及人身安全的情况，为工作票执行不合格。,正确
"所有电气设备的金属外壳均应有良好的接地装置,使用中允许将接地装置断开。",错误
接地线应使用专用的线夹固定在导体上，特殊情况下时可以用缠绕的方法进行接地或短路。,错误
装设接地线应先接导体端，后接接地端，接地线应接触良好，连接应可靠。拆接地线的顺序与此相反。,错误
电气设备仪表无电压指示，可视为无电。,错误
使用摇表在测量绝缘前，不必将被试设备对地放电,错误
停电范围以满足安全工作为限，可以随意扩大停电范围。,错误
“三不伤害”是指：不伤害自己、不伤害他人，不被设备伤害。,错误
安规规定，禁止与工作无关的人员在运煤皮带的通廊及各种有关设备的室内通行或逗留。,正确
安规规定，堆取煤时，应随时注意保持煤堆有一定的边坡，避免形成陡坡 (不宜超过70°)，以防坍塌伤人。,错误
安规规定，扑救可能产生有毒气体的火灾 (如电缆着火等)时，扑救人员应使用呼吸器。,错误
安规规定，任何电气设备上的标示牌，除原来放置人员或负责的运行值班人员外，其他任何人员不准移动。,正确
安规规定，不要用湿手去摸触电源开关以及其它电气设备。,错误
安规规定，清拭运转中机器的固定部分时，不能戴手套或将抹布缠在手上使用。,错误
安规规定，禁止在转动中的机器上装卸和校正皮带，或直接用手往皮带上撒松香等物。,正确
安规规定，在机器完全停止以前，不准进行修理工作。,正确
临时工的安全管理、事故统计、考核与固定职工同等对待。,正确
湿手不准去摸触电灯开关以及其他电气设备(安全电压的电气设备除外)。,正确
所有楼梯、平台、通道、栏杆都应保持完整，铁板必须铺设牢固。铁板表面应有纹路以防滑跌。,正确
接地线应用多股软裸铜线，其截面应符合短路电流的要求，但不得小于 20 。,错误
值班员如发现工作人员违反安全规程或任何危及工作人员安全的情况，应向工作负责人提出改正意见，必要时可暂时停止工作，并立即报告上级。,正确
新投产发电设备由于设计单位主要责任造成设备事故，但投运时间已超过一年，应中断该发电单位的安全记录。,正确
本企业实习生在从事电力生产有关工作过程中发生的人身伤亡，不统计为电力生产人身伤亡事故。,错误
防汛、抗震、防台风等应急预案所需项目，不能作为制定反事故措施计划的依据。,错误
安全监督人员有权对事故现场进行拍照、录音、录像等，安全监督人员对违反规定，隐瞒事故或阻碍事故调查的行为有权纠正或越级反映,正确
直流电力系统中1500V及其以下的电压等级称为低压。,正确
发现绝缘工具受潮或表面损伤、脏污时，应及时进行处理后方可使用。,错误
"存煤自燃时,在煤堆正上方作业及灭火时要做好安全措施,防止坍塌。",正确
"煤场存煤应及时倒烧,防止存煤积煤自燃.发现积煤自燃时,应及时采取措施灭火,防止一氧化碳和二氧化硫等气体中毒,不应将已燃存煤上至皮带。",正确
特殊情况可以利用任何管道、栏杆、脚手架悬吊重物和起吊设备,错误
清拭运转中机器的固定部分时，应戴手套或将抹布缠在手上使用，只有在转动部分对工作人员没有危险时，方可允许用长嘴油壶或油枪往油盅和轴承里加油。,错误
经常有人工作的场所及施工车辆上宜配备急救箱，存放急救用品，并应指定专人经常检查、补充或更换。,正确
在发现直接危及人身安全的紧急情况时，现场负责人有权停止作业并组织人员紧急后撤离作业场所。,正确
操作设备应具有明显的标志，包括命名、编号、设备相色等。,正确
装设接地线时，应先装接导体端，后装接地端。,错误
接地线截面积不应小于35平方毫米。,错误
如梯子长度不够而需将两个梯子连接使用时，须用金属卡子接紧，或用铁丝绑接牢固。,正确
在楼板和结构上打孔或在规定地点以外安装起重滑车或堆放重物等，必须事先经过本单位有关技术部门的审核许可。,正确
各级领导人员都不准发出违反安全规程的命令。工作人员接到违反安全规程的命令，应拒绝执行。,正确
在危及人身和设备安全的紧急情况下，经分管生产的行政副职或总工程师许可后，可以没有工作票即进行处置。,错误
在潮湿的金属容器内、有爆炸危险的场所(如煤粉仓、沟道内)、脱硫烟道系统等处工作时，不应超过24V。,错误
遇有6级以上的大风时，禁止露天进行起重工作。,正确
电气设备上的标示牌，如果因工作需要，可以将其临时移动、拆除，工作完后恢复。,错误
当现场有人发生触电，出现心跳停止时，应以最快速度送到医疗中心。,错误
在梯子上工作时，梯子与地面的斜角度为60°左右。工作人员必须登在距梯顶不 少于1米的梯蹬上工作。,正确
发现有人触电时，应先向有关部门汇报，然后进行抢救。,错误
在落差大于1、5米且无防护措施的高处工作时必须戴安全带。,正确
电力安全工器具分为绝缘安全工器具、一般防护安全工器具两大类。,错误
办理工作票时，检修班组成员不能代替工作票负责人在工作票上签字。,正确
检修工作需短时延期(二小时内)的工作票无需办理延期手续。,错误
为提高工作效率，经领导允许，可以用别人的工号签发、许可、终结工作票。,错误
外来承包商施工区域涉及到电子间、升压站等重点区域时，项目管理部门需派专人监护。,正确
外包工程中，安环部应负责组织对承包单位进行安全与技术交底。,错误
电缆着火时会产生有毒气体，扑救人员需佩戴正压式空气呼吸器作为防护进行灭火。,正确
任何产生火花的工作都应视作动火工作。,正确
安全带使用前应进行检查，并应定期进行静荷重试验。,错误
“安规”规定在梯子上工作时，梯子与地面的斜角度为65°左右,错误
电力生产必须坚持“安全第一、预防为主”的方针。,错误
电力生产必须始终坚持“安全第一，预防为主，综合治理”的安全生产方针。,正确
楼板、平台应有明显的允许荷载限值标志。,正确
可以利用任何管道、栏杆、脚手架悬吊重物和起吊设备。,错误
任何人员进入生产现场（办公室、控制室、值班室和检修班组室除外），必须戴好安全帽。,正确
进入高粉尘场所和从事相关作业应佩带防尘口罩，普通纱布口罩不能替代防尘口罩。,正确
巡视、检查设备必须经值长或值班负责人（运行班长、单元长）同意，并将开始、结束时间记在运行日志内。,正确
开工后，严禁运行或检修人员单方面变动安全措施。,正确
工作许可人和工作负责人共同到现场验收，检查设备状况、有无遗留物件、是否清洁等，然后在工作票上填写工作结束时间，双方签名，工作方告终结。,正确
运行值班人员在工作票终结之前，可以将检修设备试运行。,错误
动火工作票至少一式二份。,错误
动火前可燃性、易爆气体含量或粉尘浓度检测的时间距动火作业开始时间不应超过2.0h。,正确
动火作业现场应配备足够、适用、有效的灭火设施、器材。,正确
各工作场所、通道及铁道沿线的重点部位应有良好的照明。,错误
各种储运煤设备限位、保护（含拉线开关等）、电气联锁、声、光信号报警装置正常，有定期检查、试验记录。抱闸良好，转动部分防护罩牢固。,正确
储煤场应有良好的照明、排水沟和消防设备，消防车辆的通道应畅通。,正确
煤场煤堆应定期测温，存煤应及时倒烧。发现自燃时应及时采取措施灭火，防止一氧化碳和二氧化硫等气体中毒，不应将已经燃烧的原煤运送到输送机胶带上。,正确
