题目,选项,答案
履带式或汽车起重机行驶时，不准碰上( )。,电线 |电杆拉线|电杆|建筑物,ABCD
不准进入有煤的煤斗内捅堵煤。在特殊情况下，需进入有煤的煤斗内进行工作时，必须经主管生产的领导批准，并采取下列安全措施：（）,当发生异常时，禁止采用不当方法施救，以免事故扩大|工作人员应戴口罩、手套，把袖口和裤脚扎好，进入煤斗必须使用安全带，安全带的绳子应缚在外面的固定装置上(禁止把绳子缚在铁轨上)并至少有2人在外面进行监护，进入煤斗后安全带应由监护人一直保持在稍微拉紧的状态，工作人员应使用梯子上下|通知运行值班人员将煤斗出口挡板关闭，切断给煤机电源并挂警告牌|防止煤斗内CO等有害气体中毒|打开煤斗箅子或箅子上的人孔门时，应采取措施，防止箅子或人孔门落入煤斗。工作结束后应将箅子或人孔重新盖好并拴牢|如果煤堆积在煤斗的一侧并有很大的陡坡(60 o～70 o)时，应在进入煤斗前将陡坡用捅条消除，以免塌下将人埋住,ABCDEF
斗轮机、皮带等贮运煤设备开动前，必须进行音响警示，管理部门应对（）等进行详细规定。,间隔时间|次数|持续时间|检查时间,ABC
"许可进行工作的事项,包括（）必须记在运行班长（或值长）的操作记录簿内",工作票号码|完工时间|工作任务|许可工作时间,ABCD
禁止在（）行走和坐、立，如必需在管道上坐、立才能工作时，必须做好安全措施。,运行中设备的轴承上|栏杆上|管道上|安全罩上|靠背轮上,ABCDE
在转动部分附近使用梯子时，为了避免机械转动部分突然卷住工作人员的衣服，应在梯子与机械转动部分之间临时设置（ ）防护。,隔离绳 |铁皮|薄板|金属网,CD
遇有电气设备着火时，应立即将有关设备的电源切断，然后进行救火。对可能带电的电气设备以及发电机、电动机等，应使用()灭火；,干式灭火器|泡沫式灭火器|二氧化碳灭火器|六氟丙烷灭火器,ACD
所有（）都应保持完整，铁板必须铺设牢固。,栏杆|通道|楼梯 |平台,ABCD
在通道上使用梯子时，应设（ ）。,设置临时围栏|监护人|警示牌|并封闭通道,AB
在转动部分附近使用梯子时，为了避免机械转动部分突然卷住工作人员的衣服，应在梯子与机械转动部分之间临时设置（ ）防护。,隔离绳|薄板|不需隔离|金属网,BD
发现电动机着火可使用()灭火器灭火。,干沙|干式灭火器|六氟丙烷|二氧化碳灭火器,BCD
防触电事故预防，最为常见安全措施有哪些(),安全间距|屏护|限压|绝缘,ABD
触电伤员如意识丧失，应在10S内用( )的方法判定伤员有无呼吸。,试 |听 |摸|看,ABD
消防安全标识有()。,提示标识 |禁止标识 | 警告标识 | 疏散标识,ABCD
对外来 ( ) 等人员，必须进行现场危险有害因素、应急事项等的告知，并在有关人员陪同下方可进入现场。,指导|参观| 学习 | 检查|检修,ABCD
下列哪些属于保证安全的技术措施：()。,操作票制度|装设接地线|悬挂标示牌|验电|工作监护制度,BCD
工作票的填写应正确、清楚，如有个别错、漏字需要修改，应()。,字迹清楚|使用规范的符号|在修改处盖章或签名|更换新票重写,AB
一张工作票中，()三者不得互相兼任。,工作负责人|工作许可人|工作票签发人|专责监护人,ABC
电力行力紧急救护技术规范有( )。,溺水急救技术规范 | 有害气体中毒急救技术规范|高温急救技术规范 |触电急救技术规范 | 创伤急救技术规范,ABCDE
现场紧急救护应 ( ),动作迅速、果断 | 方法正确、有效|就地抢救,ABC
禁止利用任何 ( ) 等作为起吊支承点悬吊重物和起吊设备。,支吊架|脚手架 |设备底座|栏杆 |管道,ABCDE
所有 ( ) 平台以及通道等有坠落危险处，必须设置符合标准的固定式工业防护栏杆、扶手等实施。,楼梯|大小孔洞 |升降口|吊装孔,ABCD
在检修工作中如需将盖板取下，必须装设牢固的硬质围栏和明显的 ( ) 等安全警示标示牌。,当心坠落 |当心坑洞 |当心烫伤| 当心吊物,AB
工作服禁止使用 ( ) 的衣料制作，以防遇火燃烧加重烧伤程度。,纯棉|化纤或棉|尼龙| 化纤混纺,BCD
所有工作人员均应具备必要的安全救护知识，应学会紧急救护方法，特别要学会触电急救法、窒息急救法、心肺复苏法等。掌握防护用品的使用方法，会使用现场消防器材，并熟悉有关 ( ) 等急救知识。,溺水|烫伤|气体中毒|外伤|烧伤,ABCDE
成套接地线应(　)接地线必须应使用专用的线夹固定在导体上，严禁用缠绕的方法进行接地或短路。,其截面不得小于25mm2|用有透明护套的多股软铜线组成| 禁止使用其他导线作接地线或短路线|同时应满足装设地点短路电流的要求|接地线在每次装设前应经过详细检查,ABCD
操作票包含(　),操作编号| 操作顺序 | 操作时间|操作任务,ABCD
操作票是操作前填写()的规范化票式。,操作编号| 操作时间|操作内容| 操作顺序,CD
全部工作完毕后，工作负责人应向运行人员交待(　)等，并与运行人员共同检查设备状况、状态。,所修项目状况|未处理的问题|发现的问题|试验结果,ABCD
在工作票停电范围内增加工作任务时，若无需变更安全措施范围，应由工作负责人征得(　)同意，在原工作票上增填工作项目。,工作票签发人 | 值班负责人|站长 |工作许可人,AD
工作票一份交给()，另一份交()。,工作许可人|工作票签发人|工作负责人| 值班负责人,AC
工作许可人在完成施工作业现场的安全措施后，还应完成以下手续：(　)。,在工作现场全程监护工作班成员作业| 对工作负责人指明带电设备的位置和注意事项|会同工作负责人到现场再次检查所做的安全措施|会同工作负责人在工作票上分别确认、签名,BCD
工作许可人的安全职责有(　)。,确认工作现场布置的安全措施完备，确认检修设备无突然来电的危险| 确认工作票所列安全措施正确完备，符合现场条件|对工作票所列内容有疑问，应向工作票签发人询问清楚，必要时应要求补充|确认所派工作负责人和工作班人员适当、充足,ABC
抢救中暑患者，应()。严重者送医院治疗。,及时给患者口服盐水|用各种方法给患者降温|迅速转移到阴凉通风处休息|人工呼吸,ABC
生产现场和经常有人工作的场所应配备急救箱，存放急救用品，并应指定专人经常()。,更换|补充|检查|清扫,ABC
脱离电源，就是要把触电者接触的那一部分带电设备的所有()断开；或设法将触电者与带电设备脱离开。,其他断路设备|断路器(开关)|导线|隔离开关(刀闸),ABD
安规规定，禁止在皮带上或其它有关设备上()。跨越皮带必须经过通行桥。,爬过|传递各种用具|越过|站立,ABCD
安规规定，在移去煤中的雷管时，必须由专业人员操作并特别小心，防止()，在任何情况下不得拉动导火线。运煤皮带上发现雷管时，应立即将皮带停下处理。取出的雷管，必须交有关部门处理。,受热|撞击|挤压|掉落,ABCD
安规规定，禁止在()或运行中设备的轴承上行走和坐立，如必需在管道上坐立才能工作时，必须做好安全措施。,栏杆上|管道上|安全罩上|靠背轮上,ABCD
安规规定，只有在转动部分对工作人员没有危险时，方可允许()往油盅和轴承里加油。,用长嘴油壶|用油枪|用设备专用工具|用长嘴油壶或油枪,ABD
安规规定，禁止在运行中()机器的旋转和移动的部分，禁止将手伸入栅栏内。,擦拭|靠近|清扫|润滑,ACD
对于临时工的管理，正确的是( ),临时工从事生产工作所需的安全防护用品的发放应与固定职工相同 |禁止在没有监护的条件下指派临时工单独从事有危险的工作|临时工上岗前，必须经过安全生产知识和安全生产规程的培训，考试合格后，持证上岗 |临时工分散到车间、班组参加电力生产工作时，由所在车间、班组负责人领导,ABCD
防坠落护品包括哪些种()。,绝缘鞋|安全带|安全帽|安全网,BD
“运行值班人员补充的安全措施”栏的内容包括( ),补充工作票签发人(或工作负责人)提出的安全措施。 |提示检修人员的安全注意事项。|由于运行方式或设备缺陷需要扩大隔断范围的措施 |运行人员需要采取的保障检修现场人身安全和运行设备安全的措施,ABCD
工作票许可人的安全职责(),对工作负责人正确说明哪些设备有压力、高温和爆炸危险等|安全措施确已完善和正确执行 |对工作人员给予必要指导 |检修设备与运行设备确已隔断,ABD
《电力安全工作规程 第1部分 热力和机械》(GB 26164.1-2010)第3.3.9条款规定：工作人员进入生产现场，禁止穿()；,凉鞋|拖鞋|高跟鞋|劳保鞋,ABC
必须使用硬板担架搬运的伤员有()。,骨盆骨折的伤员|腰椎骨折的伤员|大腿骨折的伤员|颈椎骨折的伤员,ABD
安全技术交底必须具备()。,针对性强 | 指明法律责任|具体、明确| 书面,ACD
电厂存在的主要安全风险有()。,烧、灼伤| 交通事故| 触电、窒息|人员坠落、物体打击,ABCD
高处作业安全带禁止系挂在()支持体上。,移动的| 低于作业位置的|不牢固的| 和作业位置等高的,BCD
对高温中暑人员将使用()进行急救处理。,头部放置冰袋| 用冷水擦浴| 湿毛巾覆盖身体| 电扇吹风|立即转移到阴凉通风处,ABCDE
中暑的一般症状有()，等严重时抽搐、惊厥甚至昏迷。,眩晕|虚脱|恶心| 呕吐| 胸闷,ABCDE
高处作业应遵守的安全事项有(),使用工具袋| 传递物件不得上下抛掷|地点下方需设立隔离区| 使用安全带|戴安全帽,ABCDE
电力生产必须层层落实安全生产责任制，做到在()生产工作的同时，()安全工作。,计划|布置|检查|总结|考核|,ABCDE
新建、改建、扩建工程的安全设施必须与主体工程()。,同时设计|同时施工|同时投入生产和使用|同时完工,ABC
厂房等主要建筑物、构筑物必须定期进行检查和维护，结构应无（）的现象，门窗及锁扣应完整，化妆板和宣传板、牌等附着物应固定牢固。,损坏|倾斜|裂纹|风化|下塌|腐蚀,BCDEF
厂房内和室内的通道应随时保持畅通。地面应保持清洁，有（）等，必须及时清除，以防滑跌。,灰浆|泥污|油迹|树脂,ABCD
所有升降口、大小孔洞（未安装固定盖板者）、楼梯和平台，必须装设不低于（） 高的栏杆和不低于 高的脚部护板。,1050mm|1200mm|100mm|200mm,AC
禁止在工作场所存储易燃物品，例如（）等。,汽油|煤油|酒精|丙酮|柴油,ABCD
进入煤粉仓、引水洞等相对受限场所以及地下厂房等空气流动性较差的场所作业，必须事先进行通风，并测量（）等气体含量，确认不会发生缺氧、中毒、爆炸等情况，方可开始作业。,氧气|一氧化碳|二氧化碳|可燃气|,ABD
在高温场所工作时，应为工作人员提供足够的()。对温度较高的作业场所必须增加通风设备，根据现场情况安排间歇作业并做好监护工作。,通风|饮水|清凉饮料|防暑药品,BCD
企业必须对所有新员工进行企业（厂/公司）、部门（车间/分公司）、班组（岗位）三级安全教育培训，告知企业安全制度、作业现场和工作岗位存在的（），学习本规程和其他相关安全规程，并经考试合格后方可上岗。,风险点|危险因素|防范措施|事故应急措施,BCD
外来参观人员必须被告知（）和（），并在有关人员的陪同下，方可进入现场。,危险因素|现场危险点|安全注意事项|防范措施,BC
任何人员进入生产现场，除（）外，必须戴好安全帽。,厂区道路|办公室|控制室|值班室|检修班组室,BCDEF
禁止在转动中的设备上（）和（）皮带或传动链条，或直接用手往皮带上撒松香等物品。,装卸|使用|校正|紧固,AC
禁止在运行中（）设备的旋转和移动的部分，严禁将手伸入栅栏内。,清扫|擦拭|润滑|调整,ABC
在生产设备、系统上进行（）工作，需要对设备、系统采取安全措施或需要运行人员在运行方式、操作调整上采取保障人身、设备安全措施的工作时，必须使用工作票。,安装|检修|维护|试验|调试|检查,ABCDEF
火力发电企业在热控电源、等涉及DCS、联锁系统及设备上的工作，需要将生产设备、系统停止运行或退出备用的，使用热控工作票.,通信|测量|监视|调节|保护,ABCDE
在生产设备、系统上进行()等无需设备、系统调整或隔离措施的工作，应使用介入工作票，介入工作票必须在12h 内终结。,文明生产|定期检查|脚手架搭设|保温施工|检修,ABCD
每年对（）进行安全规程、运行规程和检修规程的培训和考试，考试合格的，经企业主管安全生产的领导（总工程师）批准，以书面文件形式公布，并在相应地点保存备用。,工作负责人|工作许可人|工作票签发人|专责监护人,ABC
工作票“工作内容”栏：描述工作内容，要求（）。,标准|准确|清楚|完整,BCD
工作票“必须采取的安全措施”栏：填写检修工作应具备的安全措施，安全措施应（）。,周密|细致|不错项|不漏项,ABCD
工作许可人向工作负责人详细说明哪些设备（）和有毒有害介质等。,运行|带电|有压力|高温|爆炸,BCDE
（）和（）共同到现场验收，检查设备状况、有无遗留物件、是否清洁等，然后在工作票上填写工作结束时间，双方签名，工作方告终结。,工作许可人|运行人员|工作负责人| 监护人,AC
工作许可人应是具有相关（）以及熟悉（）的相关内容，由企业分管安全生产领导书面批准的运行值班人员。,工作经验|设备、系统情况|安全规程|运行规程,ABCD
工作票中值班负责人（运行班长、单元长）安全职责（）,对工作票的许可至终结程序执行负责|对工作票所列安全措施的完备、正确执行负责|对工作结束后的安全措施拆除与保留情况的准确填写和执行情况负责|安全措施确已完善和正确地执行,ABC
根据（）等因素，将动火工作级别划分为一级动火、二级动火两个级别。,火灾危险性|发生火灾损失、影响|重点防火部位|易燃易爆区域,AB
动火工作票不准代替（），应在动火工作票上注明检修工作票、紧急抢修单的编号。,操作票|检修工作票|紧急抢修单|介入票,BC
与运行设备有关的动火工作必须办理运行许可手续。在满足运行部门可动火条件，运行许可人在动火工作票填写（），完成运行许可手续。,安全注意事项|许可动火时间|签名|计划工作时间,BC
二级动火：在检查应配备的消防设施和采取的消防措施、安全措施已符合要求，可燃性、易爆气体含量或粉尘浓度合格后，（）分别签名确认，并由动火部门（车间）安监人员填写允许动火时间。,动火执行人|消防监护人|动火工作负责人|动火部门（车间）安监人员|工作许可人|运行值班负责人,ABCD
二级动火时，（）必须始终在现场监护。,工作许可人|动火部门安监人员|消防监护人|工作负责人,CD
消防监护人应由本单位（）担任。,专职消防员|志愿消防员|运行人员|检修人员,AB
动火运行许可人主要安全责任（）,核实动火工作时间、部位|确认动火工作票所列安全措施正确、完备，符合现场条件|确保动火设备与运行设备已经隔绝，完成相应安全措施|向动火工作负责人交代运行所做的安全措施,ABCD
动火作业前，应清除动火现场（）的易燃易爆物品。,周围|上方|下方|,ABC
严禁在各类储运煤设备运行中进行任何（）工作。,调整|检修|维护|清理,BCD
严禁在可能突然下落的设备（如抓斗、吊斗等）下面进行（）。,工作|通行|逗留|巡检,AB
各种储运煤设备（）正常，有定期检查、试验记录。抱闸良好，转动部分防护罩牢固。,限位|保护（含拉线开关等）|电气联锁|声、光信号报警装置|,ABCD
斗轮机、翻车机、螺旋卸煤机等设备的()时，应将电动机的开关拉开。,作业结束|作业中断|操作人员休息|作业暂停,ABC
储煤场应有（），消防车辆的通道应畅通。,良好的照明|排水沟|消防设备|安全防护装置,ABC
煤场煤堆应定期测温，存煤应及时倒烧。发现自燃时，应及时采取措施灭火，防止（）等气体中毒，不应将已经燃烧的原煤运送到输送机胶带上。,一氧化碳|二氧化碳|二氧化硫|,AC
