题目,选项,答案
斗轮机、卸船机、桥式及龙门抓煤机等停止工作时，（）等机构应处于安全停用位置，轮斗及抓斗应放置在有可靠支点的位置固定，并应切断电源，上好夹轨器。,大车|悬臂|轮斗|抓斗,ABCD
卸船机操作室应设有（）或警报器等安全设施；应设有常规故障显示器及监视器等装置。,窗户|门锁|灭火器|安全防护装置,BC
遇有（）天气等应停止卸船作业，并将卸船机开至指定停机位置，将锚定板插入锚定坑中，迅速组织人员撤离到安全地带。,高温|暴雨|大风|大雾|极寒,BCD
带式输送机通廊或有关设备室、操作室内严禁积存（）等。,易燃、易爆物品|油污件|煤粉|积煤,ABC
进入落煤管进行清理堵煤、更换衬板等工作时，必须采取可靠的（）等安全措施。,防火|防爆|防坠落|防中毒|防设备转动|防落煤,ABCDEF
（）、配煤车等设备应各自设置单独的就地紧急停止按钮，并与带式输送机的拉线开关一起参与联锁保护。,皮带机|碎煤机|滚轴筛|给煤机,BCD
恶劣天气时（如巨浪、6 级以上大风、暴雨、暴雪、浓雾、雷电等），禁止煤船清舱作业。()天气上下舱应系设安全带。,酷暑|严冬|大风|雨雪,BCD
禁止在起吊清舱机上（）。舱面（地面）工作人员不得在清舱机和抓斗的下方通行或停留。,载人|载物|超速|急停,AB
应及时清除码头工作场所的（）。冰冻时应做好防滑跌措施。码头上不准堆积杂物及易燃易爆物品。,油渍|霜|雪|积煤,ABC
输煤皮带停止上煤期间，也应坚持巡视检查，发现应及时清理。,油渍|积煤|积粉|杂物,BC
在（）等类事故方面，应认真贯彻安全组织措施和技术措施，并配备经国家或省、部级质检机构检测合格的、可靠性高的安全工器具和防护用品。,防止触电|高处坠落|机器伤害|灼烫伤,ABCD
要对执行安全规程制度中的主要人员如（）等定期进行正确执行安全规程制度的培训，务使熟练地掌握有关安全措施和要求，明确职责，严把安全关。,工作票签发人|工作负责人|工作许可人|工作操作监护人,ABCD
应经常进行各种形式的安全思想教育，提高职工的（）。,风险意识|安全防护意识|安全防护方法|技能水平,BC
努力提高除尘器的运行水平，严格执行电除尘运行维护导则。对设备运行中存在的（）及时处理，保证除尘器运行效率。,故障|问题|除尘效果|除尘效率,AB
加强燃用煤种的煤质（）管理，燃用易自燃的煤种应及早通知运行人员，以便加强监视和巡查，发现异常及时处理。,分析|配煤|计量|化验,AB
对于新建、扩建的火力发电机组（）及其他易燃易爆场所，宜选用阻燃电缆。,主厂房|输煤|燃油|码头|储煤场,ABC
建立健全电缆（）等各项规章制度。坚持定期巡视检查，对电缆中间接头定期测温，按规定进行预防性试验。,维护|检查|防火|报警,ABCD
"电缆沟应保持清洁（）,安全电压的照明充足，禁止堆放杂物。锅炉、燃煤储运车间内架空电缆上的粉尘应定期清扫。",封堵完好|无杂物|不积粉尘|不积水,CD
厂内专用机动车辆（电瓶车、铲车、翻斗车等）的使用与管理，应遵守下列（ ）规定。,机动车车厢以外的任何部位或货运汽车、拖拉机的挂车、起重车、罐车、平板车和轮胎式专用车，翻斗车、铲车不得载人。|车辆应由专人驾驶和保养，驾驶人员必须经有关部门的专业技术和安全操作考试合格，持有效驾驶证后，方可独立驾驶。|开车前应检查车辆的制动系统、转向系统、操纵机构和传动系统、行驶系统、车身的安全性能；叉车还应检查升降架、倾斜机构、叉架动作应正常。车辆的制动器、转向器、喇叭、灯光、雨刷和后视镜必须保持齐全有效。行驶途中，如制动器、转向器、喇叭、灯光发生故障或雨雪天雨刷发生故障时，应停车进行修复，未经修复不得继续驾驶。|车辆装载不得超过铭牌核定荷重。,ABCD
在通道上使用梯子时，应设（）,警示牌|监护人|并封闭通道|设置临时围栏,BD
企业对新员工应告知作业现场和工作岗位存在的（）。,防范措施|技能要求|事故应急措施 |危险因素,ACD
在高温场所工作时，应为工作人员提供足够的（）。,防暑药品|营养食物|饮水|清凉饮料,ACD
应该避免靠近和长时间的停留在可能受到烫伤的地方，例如：( )。,汽轮机低压缸|煤粉系统和锅炉烟道的人孔及检查孔和防爆门、安全门附近|汽、水、燃油管道的法兰盘、阀门附近|除氧器、热交换器、汽包的水位计以及捞渣机等处,BCD
使用电气工具时，工作中（）应立即切断电气工具的电源。,离开工作场所|遇到临时停电|暂停作业,ABC
电缆隧道、电缆井内应有充足的照明，并有()的措施。,防水|防爆|通风|防火,ACD
在电气设备上工作，保证安全的技术措施由(　)执行。,新员工|有操作资格的人员|值班负责人| 运行人员,BD
如何验电？(　),直接验电应使用相应电压等级的验电器在设备的接地处逐相验电|在恶劣气象条件时，对户外设备及其他无法直接验电的设备，可间接验电。|高压验电应戴绝缘手套，人体与被验电设备的距离应符合设备不停电时的安全距离要求。|验电前，验电器应先在有电设备上确证验电器良好。,ABCD
电气设备的双重名称是( )。,设备名称|设备编号|设备型号,AB
带电作业必须设专责监护人。监护人不得( )。,登上杆塔|直接操作|戴护目眼镜|同时监护两个作业点,BD
在电气设备上工作，保证安全的技术措施有( )。,验电 |停电|装设接地线 |悬挂标示牌和装设遮栏,ABCD
下列有关工作人员的提法，不恰当的有(),工作人员工作时必须穿着工作服，衣服和袖口必须扣好|任何人进入地下厂房，必须戴安全帽，穿工作服|所有工作人员都应学会触电窒息急救法、心肺复苏法，并熟悉有关烧伤、烫伤、外伤、气体中毒等急救常识。|工作人员必须定期进行体格检查，凡患有不适于担任热力和机械生产工作病症的人员，经安监鉴定和有关部门批准，应调换作其他工作。,BD
属于消防提示性标识()。,紧急出口 | 消防水带 |击碎板面 | 灭火器,BD
电气设备中高压电气设备是指 ()。,设备对地电压在250V以上者 |6—10KV电气设备 | 设备对地电压在250V及以下者|110KV电气设备,ABD
在从事可能造成 ( ) 物体打击等工作时，必须使用安全工器具。,触电 |坠落 |灼伤 |摔跌,ABCD
若需变更或增设安全措施，应符合下列哪些要求？(),重新履行工作许可手续。|填用新的工作票|由工作负责人征得工作班成员同意|在工作票上增填安全措施,AB
下列哪些人员，不准对运行中的设备、信号系统、保护压板进行操作？(),检验自动化监控系统和仪表的工作人员|运行值班人员|检验继电保护的工作人员|检验安全自动装置的工作人员,ACD
有下列哪些“有电指示之一者，则禁止在设备上工作？(),反映检修设备电压的电压表指示有电。|表示设备断开的信号指示有电|允许进入间隔的信号指示有电|反映不停电设备电压的电压表指示有电,ABC
作废的操作票，应注明“()”字样，未执行的应注明“()”字样，已操作的应注明“()”字样。,未执行|作废 |已操作|已执行,ABD
装设接地线有何要求(　),特殊情况下，单人值班可自己进行接地线的装设工作|应先接接地端，后接导体端，接地线应接触良好，连接应可靠。拆 接地线 的顺序与此相反|人体不得碰触接地线或未接地的导线，以防止感应电触电|不宜单人进行,BCD
属于消防提示性标识()。,击碎板面|灭火器|消防水带|紧急出口,BC
脚手架分为()、 外脚手架、内脚手架和()等类型。,单排脚手架|综合脚手架|活动脚手架|简易脚手架,AB
消防安全标识有()。,警告标识 |禁止标识 | 疏散标识| 提示标识,ABCD
控制噪声的传播和反射的措施有：(),隔音|消声|阻尼|吸声,ABCD
当有限空间内存在可燃性气体和粉尘时，严禁带入能产生()的器具。,电火花|明火|烟气,ABC
汽车起重机、高处作业车操作人员要求持有效的()证方可上岗。,特殊工种操作资格证|机动车驾驶证|高处作业证|机动车准驾证,ABD
担任高处作业的人员必须身体健康。经医师鉴定患有()不宜从事高处作业，不准参加高处作业。,心脏病|高血压|癫痫|精神病,ABCD
安全网有哪几类()。,密目式|平网|立网,ABC
下列哪些场所的门必须为外开式()。,母线室|电子间|开关室|控制室|电缆隧道|计算机房,ABCDEF
手持电动工器具如有()等故障时，应立即进行修理，在未修复前，不得继续使用。,保护线脱落|绝缘损坏|插头插座裂开|电源线护套破裂|有损于安全的机械损伤|无试验合格证,ABCDE
工作场所的照明，应该保证足够的亮度。在()等地点，还应设有事故照明。,控制室|绝缘工具室|机房|操作盘和重要表计|主要楼梯、通道,ACDE
使用风动工具时下列哪些做法是正确的。(),只有在停止送风时才可拆装软管|工作人员不准使用或修理风动工具。|风动工具的软管应和工具连接牢固。连接前应把软管吹净。|禁止将带有工作部件的风动工具对准人。|工作部件停止转动前不准拆换。,ACDE
电气工具和用具在使用时的注意事项是什么？(),有无接地线|不准提着电气工具的导线或转动部分|检查电线是否完好|接好剩余电流动作保护器|使用金属外壳的电气工具时应戴绝缘手套,BDE
在使用砂轮进行工作时的注意事项有哪些？(),砂轮磨工具时应使火星向下，可以用砂轮的侧面研磨|使用砂轮研磨时，应戴防护眼镜或装设防护玻璃|应装有用钢板制成的防护罩，其强度应保证当砂轮碎裂时挡住碎块|可调护板和砂轮间的距离不大于2mm|应无裂纹及其他不良情况,BCE
哪些工具的手柄应安装牢固，没有手柄的不准使用。(),锉刀|电钻|螺丝刀|砂轮机|手锯|木钻,ACEF
大锤和手锤的锤头应完整，其表面应光滑微凸，不得有()等情形。,歪斜|凹入|裂纹|缺口,ABCD
控制产生粉尘爆炸的主要技术措施是() 。,消除粉尘| 惰化防护|采用抑爆装置|密闭、通风|适当增湿,ABCE
在易燃易爆场所应该()。,不准穿带钉鞋|使空气越干燥越好|应穿带钉鞋| 使用铁制工具| 应使用铜制或木制工具,AE
电力企业的两措是指()。,安全技术措施|安全预防措施|反事故措施|事故控制措施,AC
根据《工伤保险条例》，下列关于工伤保险待遇的表述中正确的是()。,工伤职工到签订服务协议的医疗机构进行工伤康复的费用，符合规定的，可从工伤保险基金支付|经工作单位同意，工伤职工治疗非工伤引发的疾病，也可享受工伤医疗待遇|职工治疗工伤只能到签订服务协议的医疗机构就医|在经办机构同意的情形下，工伤职工到统筹地区以外就医所需的交通、食宿费用从工伤保险基金支付,AD
安全生产检査应重点检査的内容包括()。,卫生条件|易造成重大损失的易燃易爆危险物品、剧毒品|锅炉、压力容器|起重设备、运输设备,BCD
职业危害因素分为哪几类().,劳动过程中的有害因素|生产环境中的有害因素|物理有害因素|生产过程中的有害因素,ABD
安全标志是用以表达特定安全信息的标志，由()或文字构成。,几何形状(边框)|对比色|安全色|图形符号,ACD
风险是指某一特定危险情况发生的()的组合。,可能性|后果|风险程度|危险,AB
下列选项是属于安全生产管理制度的包括()。,“三同时”管理制度|安全生产教育培训制度|岗位标准化操作制度|安全生产考核和奖惩制度,ABCD
贮存可能产生职业病危害的场所，应在入口处和存放处设置相应的警示标识以及简明中文警示说明，下列()属于此范围。,化学品|有毒化学品|放射性同位素|含有放射性物质材料,ABCD
以下()症状不应判断为伤者无呼吸？,感到伤者呼吸急促|胸部有起伏，但口鼻处感受不到空气进出|胸部有起伏|感受伤者口鼻处空气进出较弱,ACD
根据《中华人民共和国职业病防治法》，用人单位和医疗卫生机构发现职业病病人或者疑似职业病病人时，应当及时向()报告。,所在地安全生产监督管理部门|用人单位负责人扎|所在地卫生行政部门|医疗卫生机构负责人,AC
根据《建设工程安全生产管理条例》的规定， ()等特种作业人员，必须按照国家有关规定经过专门的安全作业培训，并取得特种作业操作资格证书后，方可上岗作业。,登高架设作业人员|垂直运输机械作业人员、安装拆卸工|起重信号工|爆破作业人员,ABCD
班组安全日活动的内容包括()。,结合上级下发的事故通报，组织分析、讨论事故原因和预防措施，查找本班组或个人安全工作中存在的薄弱环节，制定整改措施，吸取教训，以免重蹈覆辙|入学习安全生产文件、安全管理制度、安全操作规程及安全技术知识|根据事故预案和操作规程的要求，进行生产异常情况紧急处理能力的培训和演练，定期开展防火、防爆、防中毒和自我保护能力的训练|进行安全座谈，就安全管理和隐患整改等内容提出合理化建议等,ABCD
下列属于机械伤害的是()。,厂内机动车辆在行驶中引起的挤压|静止部件与人体接触引起的切割、刺扎扎|起重作业中发生的挤压、坠落|机械设备运转对操作人员造成的碰撞、冲击扎,BD
依据《特种设备安全监察条例》，场(厂)内专用机动车辆，是指除道路交通、农用车辆以外仅在()等特定区域使用的专用机动车辆。,旅游景区|工厂厂区|高速公路|游乐场所,ABD
有限空间作业前应进行测氧。测氧可以采用仪器仪表进行。如测量装备条件难以满足时，可采用小动物试验进行。含氧量小于()%时严禁进入该作业场所作业，必要时进行强迫通风，待含氧量大于()%以上方可进入。,17|18|16,B
地下有限空间：包括地下管道、地下室、地下仓库、地下工程、暗沟、()、涵洞、()、矿井、()、地窖、()(井)、沼气池及化粪池等。,地坑|隧道 |污水池| 废井,ABCD
地上有限空间：包括汽包、加热器、()、()、除氧器、煤缝仓、()、()等封闭空间。,水箱|磨煤机|灰库|空气预热器,ABCD
用以表达特定安全信息的安全标识，由()或文字构成。包括禁止标识、警告标识、指令标识、提示标识四大类型。,图形符号|几何形状(边框)|安全色|划线,ABC
()及闪点小于 28℃的油泵房等建筑物，应采取防爆泄压措施。,乙炔站|电缆竖井|贮氢罐间|制氢站,ACD
严禁选用()工作服替代防静电工作服。,纯化纤|纯棉|涤纶,ABC
下列()是发电厂厂区重点防火区域。,电子间|主油箱|一般材料库|袋式除尘器,ABCD
严禁随手用()及其他建筑材料搭建临时铺板来代替正规脚手架,砖|木箱|木桶|竹串片脚手板,ABC
粉尘防爆区域的()等设施未经批准，严禁拆除。,防爆|安全|除尘|通风,ABCD
有限空间作业根据作业环境和有害物质的情况，应分别采用()及呼吸系统的防护用具。,腿部|头部|皮肤|眼睛,BCD
患有下列()疾病或病症人员不准参加高处作业。,精神病|心脏病|癫痢病|高血脂,ABC
未利用的粉煤灰、灰渣、脱硫石膏必须按照规定排放到贮灰场。贮灰场应采取()、固化等措施防止二次扬尘污染。,碾压|绿化|喷水|覆土,ABCD
机动车辆在()等特殊环境作业的，其声光警示装置应经过相应试验检测合格。,潮湿|低温|高温|粉尘,ABCD
行为安全观察与沟通以六步法为基础，步骤包括(),启发|讨论|沟通|表扬|观察|感谢,ABCDEF
各单位每年应对()进行培训，经考试合格后，以正式文件发布有资格人员名单，并通知有关部门和承包商。,工作票接收人|工作负责人|工作票签发人|工作许可人,BCD
企业在风险评估过程中应重点考虑(),评估的全面性| 评估范围的充分性 | 评估对象的充分性 |员工参与的充分性,ABCD
风险辨识：环境风险种类分为(),土壤污染| 工作环境污染| 生态失衡|大气污染| 水污染|放射性污染,ABCDE
设备风险种类分为哪几种？(),设备异常|设备损坏| 设备停运| 设备性能下降| 设备故障,BCD
风险的范畴划分为()类,环境类| 职业健康类|人身伤害类| 化学类| 设备类,ABCE
安全生产隐患分()类。,设备设施及物料类|场所环境类|安全管理类|从业人员类,ABCD
安健环管理体系中的“危害”是指可能导致()或这些情况组合的条件或行为。,财产损失|工作环境破坏|伤害或疾病,ABC